IC_NAME_OLD,IC_NAME_NEW
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,Agency for Healthcare Research and Quality
AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,Agency for Toxic Substances and Disease Registry
BUREAU OF HEALTH PLANNING AND RESOURCES DEVELOPMENT,Bureau of Health Planning and Resources Development
CENTER  FOR INFORMATION TECHNOLOGY,Center for Information Technology
CENTER BIOLOGICS EVALUATION RESEARCH HEMATOLOGY,Center for Biologics Evaluation and Research - Hematology
CENTER BIOLOGICS EVALUATION RESEARCH TRANSFUSION,Center for Biologics Evaluation and Research - Transfusion Science
CENTER FOR BIOLOGICS AND EVALUATION - PRODUCT QUALITY CONTROL,Center for Biologics Evaluation and Research - Product Quality Control
CENTER FOR BIOLOGICS AND EVALUATION RESEARCH - BACTRIAL PRODUCTS,Center for Biologics Evaluation and Research - Bacterial Products
CENTER FOR BIOLOGICS EVALUATION AND RESARCH - VIRAL PRODUCTS,Center for Biologics Evaluation and Research - Viral Products
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - ALLERGENIC PRODUCTS/PARASITOLOGY,Center for Biologics Evaluation and Research - Allergenic Products and Parasitology
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - BACTRIAL PRODUCTS,Center for Biologics Evaluation and Research - Bacterial Products
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - BIOCHEMISTRY AND BIOPHYSICS,Center for Biologics Evaluation and Research - Biochemistry and Biophysics
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - CELLULAR AND GENE THERAPIES,Center for Biologics Evaluation and Research - Cellular and Gene Therapies
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - CYTOKINE BIOLOGY,Center for Biologics Evaluation and Research - Cytokine Biology
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - HEMATOLOGIC PRODUCTS,Center for Biologics Evaluation and Research - Hematologic Products
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - HEMATOLOGY,Center for Biologics Evaluation and Research - Hematology
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - PRODUCT QUALITY CONTROL,Center for Biologics Evaluation and Research - Product Quality Control
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH - VIROLOGY,Center for Biologics Evaluation and Research - Molecular Virology
CENTER FOR BIOLOGICS EVALUTAION AND RESEARCH - MONOCLONAL ANTIBODIES,Center for Biologics Evaluation and Research - Monoclonal Antibodies
Center for Global Health,Center for Global Health
CENTERS FOR DISEASE CONTROL AND PREVENTION,Centers for Disease Control and Prevention
CLINICAL CENTER,National Institutes of Health Clinical Center
CLINICAL PHARMACOLOGY AND TOXICOLOGY BRANCH,Clinical Center
COORDINATING OFFICE FOR TERRORISM PREPAREDNESS AND EMERGENCY RESPONSE,Coordinating Office for Terrorism Preparedness and Emergency Response
COORDINATING OFFICE OF GLOBAL HEALTH,Coordinating Office for Global Health
DIVISION OF BASIC SCIENCES - NCI,National Cancer Institute Division of Basic Sciences
DIVISION OF BIOLOGICS STANDARDS,Division of Biological Standards and Quality Control
DIVISION OF BLOOD DISEASES AND RESOURCES,Division of Blood Diseases and Resources
DIVISION OF CANCER BIOLOGY AND DIAGNOSIS,Division of Cancer Biology and Diagnosis
DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,Division of Cancer Epidemiology and Genetics
DIVISION OF CANCER PREVENTION AND CONTROL,Division of Cancer Prevention and Control
DIVISION OF CANCER TREATMENT,Division of Cancer Treatment and Diagnosis
DIVISION OF CLINICAL SCIENCES - NCI,National Cancer Institute Division of Clinical Sciences
DIVISION OF LUNG DISEASES,Division of Lung Diseases
DIVISION OF NURSING,Division of Nursing
DIVISION OF RESEARCH SERVICES,Division of Research Services
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,Eunice Kennedy Shriver National Institute of Child Health and Human Development
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENT,Eunice Kennedy Shriver National Institute of Child Health and Human Development
FOGARTY INTERNATIONAL CENTER,Fogarty International Center
FOOD AND DRUG ADMINISTRATION,Food and Drug Administration
"NAT INST OF ARTHRITIS, DIABETES, DIGESTIVE &KIDNEY DISEASES","National Institute of Arthritis, Diabetes, and Digestive and Kidney Diseases"
NATIONAL CANCER INSTITUTE,National Cancer Institute
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,National Center for Advancing Translational Sciences
NATIONAL CENTER FOR CHRONIC DISEASE PREV AND HEALTH PROMO,National Center for Chronic Disease Prevention and Health Promotion
NATIONAL CENTER FOR COMPLEMENTARY & ALTERNATIVE MEDICINE,National Center for Complementary and Alternative Medicine
National Center for Complementary & Integrative Health,National Center for Complementary and Integrative Health
NATIONAL CENTER FOR COMPLEMENTARY &ALTERNATIVE MEDICINE,National Center for Complementary and Alternative Medicine
National Center for Emerging and Zoonotic Infectious Diseases (NCEZID),National Center for Emerging and Zoonotic Infectious Diseases
NATIONAL CENTER FOR ENVIRONMENTAL HEALTH,National Center for Environmental Health
NATIONAL CENTER FOR HEALTH STATISTICS,National Center for Health Statistics
"NATIONAL CENTER FOR HIV, VIRAL HEPATITIS, STDS AND TB PREVENTION","National Center for HIV, Viral Hepatitis, STD, and TB Prevention"
"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention (NCHHSTP)","National Center for HIV, Viral Hepatitis, STD, and TB Prevention"
NATIONAL CENTER FOR IMMUNICATION AND RESPIRATORY DISEASES,National Center for Immunization and Respiratory Diseases
National Center for Immunization and Respiratory Diseases (NCIRD),National Center for Immunization and Respiratory Diseases
NATIONAL CENTER FOR INFECTIOUS DISEASES (NCID) ,National Center for Infectious Diseases
NATIONAL CENTER FOR INJURY PREVENTION AND CONTROL,National Center for Injury Prevention and Control
"National Center for Preparedness, Detection, and Control of Infectious Diseases","National Center for Preparedness, Detection, and Control of Infectious Diseases"
NATIONAL CENTER FOR RESEARCH RESOURCES,National Center for Research Resources
National Center on Birth Defects and Developmental Disabilities,National Center on Birth Defects and Developmental Disabilities
NATIONAL CENTER ON MINORITY HEALTH AND HEALTH DISPARITIES,National Institute on Minority Health and Health Disparities
NATIONAL EYE INSTITUTE,National Eye Institute
"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","National Heart, Lung, and Blood Institute"
NATIONAL HUMAN GENOME RESEARCH INSTITUTE,National Human Genome Research Institute
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,National Institute for Occupational Safety and Health
NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,National Institute of Allergy and Infectious Diseases
NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,National Institute of Arthritis and Musculoskeletal and Skin Diseases
NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,National Institute of Biomedical Imaging and Bioengineering
NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,National Institute of Dental and Craniofacial Research
NATIONAL INSTITUTE OF DENTAL &CRANIOFACIAL RESEARCH,National Institute of Dental and Craniofacial Research
NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,National Institute of Diabetes and Digestive and Kidney Diseases
NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,National Institute of Environmental Health Sciences
NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,National Institute of General Medical Sciences
NATIONAL INSTITUTE OF MENTAL HEALTH,National Institute of Mental Health
NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,National Institute of Neurological Disorders and Stroke
NATIONAL INSTITUTE OF NURSING RESEARCH,National Institute of Nursing Research
NATIONAL INSTITUTE ON AGING,National Institute on Aging
NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,National Institute on Alcohol Abuse and Alcoholism
NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,National Institute on Deafness and Other Communication Disorders
NATIONAL INSTITUTE ON DRUG ABUSE,National Institute on Drug Abuse
National Institute on Minority Health and Health Disparities,National Institute on Minority Health and Health Disparities
NATIONAL LIBRARY OF MEDICINE,National Library of Medicine
OFFICE OF GENOMICS AND DISEASE PREVENTION,Office of Genomics and Disease Prevention
OFFICE OF NATIONAL CENTER FOR PUBLIC HEALTH INFORMATICS,National Center for Public Health Informatics
"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTH",National Institutes of Health Office of the Director
PUBLIC HEALTH PRACTICE PROGRAM OFFICE,Public Health Practice Program Office
Veterans Affairs,United States Department of Veterans Affairs
WOMEN'S HEALTH INITIATIVE - OFFICE OF THE DIRECTOR NIH,National Institutes of Health Office of Research on Women's Health
