COUNTRY_OLD,COUNTRY_NEW
Argentina,Argentina
ARGENTINA,Argentina
AUSTRALIA,Australia
Australia,Australia
AUSTRIA,Austria
Austria,Austria
Bangladesh,Bangladesh
BANGLADESH,Bangladesh
Barbados,Barbados
BELGIUM,Belgium
Belgium,Belgium
Bosnia and Herzegovina,Bosnia and Herzegovina
BRAZIL,Brazil
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Bulgaria,Bulgaria
CANADA,Canada
Canada,Canada
CHILE,Chile
Chile,Chile
CHINA,China
China,China
China (Republic : 1949- ),China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
CZECH REPUBLIC,Czech Republic
CZECHOSLOVAKIA,Czechoslovakia
DENMARK,Denmark
Denmark,Denmark
Egypt,Egypt
EGYPT,Egypt
England,England
ENGLAND,England
Estonia,Estonia
Ethiopia,Ethiopia
FINLAND,Finland
Finland,Finland
FRANCE,France
France,France
Germany,Germany
GERMANY,Germany
"GERMANY, EAST",Germany
"GERMANY, WEST",Germany
Ghana,Ghana
Greece,Greece
GREECE,Greece
Guam,Guam
Hungary,Hungary
HUNGARY,Hungary
Iceland,Iceland
India,India
INDIA,India
Indonesia,Indonesia
Iran,Iran
Ireland,Ireland
IRELAND,Ireland
ISRAEL,Israel
Israel,Israel
ITALY,Italy
Italy,Italy
Jamaica,Jamaica
JAPAN,Japan
Japan,Japan
KENYA,Kenya
Kenya,Kenya
Korea (South),South Korea
KOREA (SOUTH),South Korea
Lithuania,Lithuania
Malawi,Malawi
Malaysia,Malaysia
MEXICO,Mexico
Mexico,Mexico
Nepal,Nepal
NETHERLANDS,Netherlands
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
Norway,Norway
NORWAY,Norway
Pakistan,Pakistan
Papua New Guinea,Papua New Guinea
Peru,Peru
Philippines,Philippines
POLAND,Poland
Poland,Poland
Portugal,Portugal
PORTUGAL,Portugal
PUERTO RICO,Puerto Rico
Puerto Rico,Puerto Rico
Qatar,Qatar
Romania,Romania
RUSSIA,Russia
Russia,Russia
Russia (Federation),Russia
Saudi Arabia,Saudi Arabia
SCOTLAND,Scotland
Scotland,Scotland
Senegal,Senegal
Serbia,Serbia
SINGAPORE,Singapore
Singapore,Singapore
Slovakia,Slovakia
SLOVAKIA,Slovakia
Slovenia,Slovenia
SOUTH AFRICA,South Africa
South Africa,South Africa
SPAIN,Spain
Spain,Spain
Sri Lanka,Sri Lanka
SWEDEN,Sweden
Sweden,Sweden
Switzerland,Switzerland
SWITZERLAND,Switzerland
Tanzania,Tanzania
Thailand,Thailand
THAILAND,Thailand
Trinidad and Tobago,Trinidad and Tobago
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
UNITED STATES,United States
United States,United States
UNKNOWN,Unknown
Unknown,Unknown
URUGUAY,Uruguay
Uruguay,Uruguay
VENEZUELA,Venezuela
Venezuela,Venezuela
Zambia,Zambia
ZIMBABWE,Zimbabwe
